tarih,min_trafik_indeksi,max_trafik_indeksi,ort_trafik_indeksi
2017-10-20,1,59,24.84
2017-10-21,1,53,25.38
2017-10-22,1,49,18.21
2017-10-23,1,53,21.41
2017-10-24,1,53,25.72
2017-10-25,1,72,29.54
2017-10-26,1,57,27.09
2017-10-27,1,63,26.9
2017-10-28,1,51,24.67
2017-10-29,1,45,18.04
2017-10-30,1,57,23.98
2017-10-31,1,59,24.8
2017-11-01,1,64,25.56
2017-11-02,1,59,25.55
2017-11-03,1,61,24.81
2017-11-04,4,59,27.15
2017-11-05,1,47,16.41
2017-11-06,1,49,19.84
2017-11-07,1,57,24.87
2017-11-08,1,57,24.13
2017-11-09,1,61,25.34
2017-11-10,1,65,25.97
2017-11-11,1,57,23.82
2017-11-12,1,64,27.31
2017-11-13,1,54,20.56
2017-11-14,1,57,23.67
2017-11-15,1,61,23.29
2017-11-16,1,57,24.28
2017-11-17,1,61,24.51
2017-11-18,1,54,21.86
2017-11-19,1,44,18.65
2017-11-20,1,69,30.01
2017-11-21,1,56,25.85
2017-11-22,1,67,27.62
2017-11-23,1,57,24.45
2017-11-24,1,65,26.57
2017-11-25,1,59,26.01
2017-11-26,1,47,15.67
2017-11-27,1,67,26.33
2017-11-28,1,61,23.96
2017-11-29,1,63,27.92
2017-11-30,1,63,25.7
2017-12-01,1,61,26.7
2017-12-02,1,57,23.88
2017-12-03,1,49,18.66
2017-12-04,1,56,26.89
2017-12-05,1,61,27.75
2017-12-06,1,63,27.44
2017-12-07,1,57,22.87
2017-12-08,1,69,28.57
2017-12-09,1,56,21.7
2017-12-10,1,38,14.95
2017-12-11,1,61,25.04
2017-12-12,1,64,26.11
2017-12-13,1,67,27.0
2017-12-14,1,61,25.39
2017-12-15,1,65,27.49
2017-12-16,1,56,25.74
2017-12-17,1,53,21.19
2017-12-18,1,63,24.22
2017-12-19,2,64,31.41
2017-12-20,1,65,29.84
2017-12-21,1,73,31.15
2017-12-22,1,73,31.96
2017-12-23,9,49,35.14
2017-12-24,1,44,13.4
2017-12-25,1,57,23.11
2017-12-26,1,65,28.36
2017-12-27,1,65,27.56
2017-12-28,1,64,27.56
2017-12-29,1,79,31.98
2017-12-30,1,64,24.32
2017-12-31,1,24,7.76
2018-01-01,1,44,11.79
2018-01-02,1,51,17.81
2018-01-03,1,57,25.46
2018-01-04,1,57,23.64
2018-01-05,1,61,26.43
2018-01-06,1,49,21.48
2018-01-07,1,40,14.65
2018-01-08,1,54,21.56
2018-01-09,1,64,25.98
2018-01-10,1,61,25.07
2018-01-11,1,71,29.71
2018-01-12,1,69,27.77
2018-01-13,1,49,24.99
2018-01-14,1,36,14.12
2018-01-15,1,54,20.66
2018-01-16,1,61,27.75
2018-01-17,1,67,28.76
2018-01-18,1,61,31.23
2018-01-19,1,67,27.8
2018-01-20,1,53,25.3
2018-01-21,1,51,20.35
2018-01-22,1,75,33.37
2018-01-23,1,59,28.47
2018-01-24,1,76,31.85
2018-01-25,1,71,29.61
2018-01-26,1,76,30.08
2018-01-27,1,62,25.7
2018-01-28,1,58,21.03
2018-01-29,1,67,25.45
2018-01-30,1,72,29.02
2018-01-31,1,74,30.05
2018-02-01,1,74,30.69
2018-02-02,1,74,28.67
2018-02-03,1,56,24.81
2018-02-04,1,62,21.74
2018-02-05,1,62,23.71
2018-02-06,1,63,25.7
2018-02-07,1,69,26.14
2018-02-08,1,69,30.62
2018-02-09,1,63,27.41
2018-02-10,1,62,25.69
2018-02-11,1,56,20.2
2018-02-12,1,65,23.65
2018-02-13,1,65,25.08
2018-02-14,1,80,31.08
2018-02-15,1,62,26.24
2018-02-16,1,74,31.85
2018-02-17,2,45,23.28
2018-02-18,1,45,16.49
2018-02-19,1,58,23.16
2018-02-20,2,62,28.36
2018-02-21,1,63,25.72
2018-02-22,1,58,25.24
2018-02-23,1,69,29.02
2018-02-24,1,47,22.66
2018-02-25,8,47,21.13
2018-02-26,1,63,25.97
2018-02-27,2,69,31.46
2018-02-28,1,71,28.25
2018-03-01,4,62,27.73
2018-03-02,1,65,27.66
2018-03-03,6,60,24.3
2018-03-04,4,47,19.47
2018-03-05,1,58,23.85
2018-03-06,4,60,31.07
2018-03-07,1,63,27.78
2018-03-08,1,71,34.1
2018-03-09,2,63,28.54
